source_record_id,platform_name,country_of_origin,manufacturer,domain,category,status,photo_url,photo_page_url,photo_license,photo_status,source_dataset,source_url,source_date,verification_level,aliases,model_code,design_organisation,class_mark,airframe_type,mtow_kg,endurance_min,endurance_h,range_km,max_speed_kmh,payload_kg,wingspan_m,length_m,notes
SRC-0001,MQ-9A Reaper,United States,,Military,MALE fixed-wing,Not specified,,,,Not collected,Curated UAV Seed 2026,Internal curated seed,2026-08-02,Curated; source review required,,,,,,,,,,,,,,ISR / strike
SRC-0002,MQ-9B SkyGuardian/SeaGuardian,United States,,Military,MALE fixed-wing,Not specified,,,,Not collected,Curated UAV Seed 2026,Internal curated seed,2026-08-02,Curated; source review required,,,,,,,,,,,,,,ISR / maritime / strike
SRC-0003,MQ-1C Gray Eagle,United States,,Military,MALE fixed-wing,Not specified,,,,Not collected,Curated UAV Seed 2026,Internal curated seed,2026-08-02,Curated; source review required,,,,,,,,,,,,,,ISR / strike
SRC-0004,RQ-4 Global Hawk,United States,,Military,HALE fixed-wing,Not specified,,,,Not collected,Curated UAV Seed 2026,Internal curated seed,2026-08-02,Curated; source review required,,,,,,,,,,,,,,Strategic ISR
SRC-0005,MQ-4C Triton,United States,,Military,HALE fixed-wing,Not specified,,,,Not collected,Curated UAV Seed 2026,Internal curated seed,2026-08-02,Curated; source review required,,,,,,,,,,,,,,Maritime ISR
SRC-0006,RQ-170 Sentinel,United States,,Military,Low-observable flying wing,Not specified,,,,Not collected,Curated UAV Seed 2026,Internal curated seed,2026-08-02,Curated; source review required,,,,,,,,,,,,,,Strategic ISR
SRC-0007,XQ-58A Valkyrie,United States,,Military,Collaborative combat aircraft,Not specified,,,,Not collected,Curated UAV Seed 2026,Internal curated seed,2026-08-02,Curated; source review required,,,,,,,,,,,,,,Attritable combat support
SRC-0008,MQ-25 Stingray,United States,,Military,Carrier fixed-wing,Not specified,,,,Not collected,Curated UAV Seed 2026,Internal curated seed,2026-08-02,Curated; source review required,,,,,,,,,,,,,,Aerial refuelling / ISR
SRC-0009,RQ-7B Shadow,United States,,Military,Tactical fixed-wing,Not specified,,,,Not collected,Curated UAV Seed 2026,Internal curated seed,2026-08-02,Curated; source review required,,,,,,,,,,,,,,Brigade ISR
SRC-0010,RQ-21A Blackjack,United States,,Military,Tactical fixed-wing,Not specified,,,,Not collected,Curated UAV Seed 2026,Internal curated seed,2026-08-02,Curated; source review required,,,,,,,,,,,,,,Maritime / land ISR
SRC-0011,Raven RQ-11,United States,,Military,Mini hand-launched fixed-wing,Not specified,,,,Not collected,Curated UAV Seed 2026,Internal curated seed,2026-08-02,Curated; source review required,,,,,,,,,,,,,,Tactical ISR
SRC-0012,Switchblade 300,United States,,Military,Loitering munition,Not specified,,,,Not collected,Curated UAV Seed 2026,Internal curated seed,2026-08-02,Curated; source review required,,,,,,,,,,,,,,Anti-personnel / light target
SRC-0013,Switchblade 600,United States,,Military,Loitering munition,Not specified,,,,Not collected,Curated UAV Seed 2026,Internal curated seed,2026-08-02,Curated; source review required,,,,,,,,,,,,,,Anti-armour
SRC-0014,Phoenix Ghost family,United States,,Military,Loitering munition,Not specified,,,,Not collected,Curated UAV Seed 2026,Internal curated seed,2026-08-02,Curated; source review required,,,,,,,,,,,,,,Tactical strike
