record_id,uav_name,country_of_origin,country_iso3,manufacturer,family,domain,category,airframe_type,status,introduced_year,retired_year,description_short,verification_status,confidence_score,origin_confidence,participating_countries,production_country,aliases,source_count,sources,photo_path,photo_source_page,photo_license,photo_identity_status,created_at,updated_at
UAV-9E92829F7DC7,Aukán,Argentina,ARG,DGIyD,,Military,Medium tactical; Fixed-wing,Fixed-wing,In use or under development as documented in 2019,,,Databook systems specification page 303.,Probable,0.7,Medium,,,,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-C4473A90B5AA,Vigía 2B,Argentina,ARG,DGIyD,,Military,Large / strategic; Fixed-wing,Fixed-wing,In use or under development as documented in 2019,,,Databook systems specification page 303.,Probable,0.7,Medium,,,,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-8AB767383D70,Krunk,Armenia,ARM,,,Military,Small / tactical; Fixed-wing,Fixed-wing,In use or under development as documented in 2019,,,Databook systems specification page 303.,Probable,0.6,Medium,,,,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-6B009E0F303F,Baze,Armenia,ARM,Military Aviation Institute,,Military,Small / tactical; Fixed-wing,Fixed-wing,In use or under development as documented in 2019,,,Databook systems specification page 303.,Probable,0.7,Medium,,,,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-962CC112C981,CamCopter S-100,Austria,AUT,Schiebel,,Military,Medium tactical; Rotary-wing,Rotary-wing,In use or under development as documented in 2019,,,Databook systems specification page 303.,Probable,0.7,Medium,,,s-100,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-A0D889B92D90,Mosquito,Belarus,BLR,558 Aviation Repair Plant,,Military,Small / tactical; Fixed-wing,Fixed-wing,In use or under development as documented in 2019,,,Databook systems specification page 303.,Probable,0.7,Medium,,,,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-022CC86DB14C,Berkut-2,Belarus,BLR,JSC Agat Control Systems,,Military,Small / tactical; Fixed-wing,Fixed-wing,In use or under development as documented in 2019,,,Databook systems specification page 303.,Probable,0.7,Medium,,,,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-0DEBEDB1D81C,Burevestnik-MB,Belarus,BLR,NPT MBK*,,Military,Medium tactical; Fixed-wing,Fixed-wing,In use or under development as documented in 2019,,,Databook systems specification page 304.,Probable,0.7,Medium,,,,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-43584EDF4F2D,Busel (M50),Belarus,BLR,NPT MBK*,,Military,Medium tactical; Fixed-wing,Fixed-wing,In use or under development as documented in 2019,,,Databook systems specification page 304.,Probable,0.7,Medium,,,m50,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-01B5423E9CD4,FT-100 Horus,Brazil,BRA,FT Sistemas,,Military,Small / tactical; Fixed-wing,Fixed-wing,In use or under development as documented in 2019,,,Databook systems specification page 304.,Probable,0.7,Medium,,,ft-100,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-2216996A9142,Dronamics Black Swan,Bulgaria,BGR,,,Civilian / Commercial,Cargo fixed-wing UAV,,Not specified,,,Long-range freight,Needs Verification,0.47,Medium,,,,2,"Curated UAV Seed 2026,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
