record_id,photo_url,platform_name,country_of_origin,manufacturer,domain,category,status,photo_status,photo_search_url,photo_page_url,photo_license,aliases,model_codes,airframe_type,class_mark,mtow_kg,endurance_min,endurance_h,range_km,max_speed_kmh,payload_kg,wingspan_m,length_m,source_count,source_datasets,source_urls,verification_level,origin_confidence,last_compiled,notes
UAV-0001,,Dronamics Black Swan,Bulgaria,,Civilian / Commercial,Cargo fixed-wing UAV,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=Dronamics%20Black%20Swan%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Long-range freight
UAV-0002,,AutoFlight Prosperity I,China,,Civilian / Commercial,eVTOL aircraft,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=AutoFlight%20Prosperity%20I%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Urban air mobility
UAV-0003,,DJI Agras T50,China,,Civilian / Commercial,Agricultural multirotor,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=DJI%20Agras%20T50%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Spraying / spreading
UAV-0004,,DJI FlyCart 30,China,DJI,Civilian / Commercial,Cargo multirotor,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=DJI%20FlyCart%2030%20UAV&title=Special:MediaSearch&type=image,,,FlyCart 30,,,none,95000,18,,,,,,,2,Curated UAV Seed 2026 | OpenDroneList,Internal curated seed | https://github.com/dronetag/opendronelist,Curated; source review required,High,2026-08-02,Logistics / delivery
UAV-0005,,EHang EH216-S,China,,Civilian / Commercial,Passenger eVTOL multicopter,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=EHang%20EH216-S%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Urban air mobility
UAV-0006,,XPeng AeroHT flying-car concepts,China,,Civilian / Commercial,eVTOL / modular aircraft,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=XPeng%20AeroHT%20flying-car%20concepts%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Personal air mobility
UAV-0007,,Delair UX11,France,Delair,Civilian / Commercial,Fixed-wing survey UAV,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=Delair%20UX11%20UAV&title=Special:MediaSearch&type=image,,,UX11 UAV,,,C6,1600,80,,,,,,,2,Curated UAV Seed 2026 | OpenDroneList,Internal curated seed | https://github.com/dronetag/opendronelist,Curated; source review required,High,2026-08-02,Mapping / photogrammetry
UAV-0008,,Lilium Jet,Germany,,Civilian / Commercial,Ducted-fan eVTOL,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=Lilium%20Jet%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Regional air mobility
UAV-0009,,Microdrones md4-3000,Germany,,Civilian / Commercial,Heavy multirotor,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=Microdrones%20md4-3000%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Mapping / LiDAR
UAV-0010,,Trinity Pro,Germany,,Civilian / Commercial,VTOL fixed-wing,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=Trinity%20Pro%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Survey / mapping
