id,item_type,subject,detail,severity,suggested_action,blocker,status,entity_type,entity_id,created_at,updated_at
26,image_missing,DJI Matrice 400,"image search unavailable: host commons.wikimedia.org refused by network egress policy: HTTPSConnectionPool(host='commons.wikimedia.org', port=443): Max retries exceeded with url: /w/api.php?action=query&format=json&formatversion=2&generator=search&gsrsearch=DJI+Matrice+400+UAV+filetype%3Abitmap&gsrnamespace=6&gsrlimit=8&prop=imageinfo&iiprop=url%7Csize%7Cmime%7Cextmetadata%7Cuser&iiurlwidth=1024 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",high,"Run the image pass from a network that permits Wikimedia Commons, or sideload a licensed file. Search: https://commons.wikimedia.org/w/index.php?search=DJI%20Matrice%20400%20UAV&title=Special:MediaSearch&type=image",network egress policy blocks the image provider,open,platforms,102,2026-08-02T15:46:54+00:00,2026-08-02T15:46:54+00:00
28,image_missing,DJI Matrice 4E,image search unavailable: host commons.wikimedia.org refused by network egress policy (proxy refused CONNECT (403/407)),high,"Run the image pass from a network that permits Wikimedia Commons, or sideload a licensed file. Search: https://commons.wikimedia.org/w/index.php?search=DJI%20Matrice%204E%20UAV&title=Special:MediaSearch&type=image",network egress policy blocks the image provider,open,platforms,393,2026-08-02T15:46:54+00:00,2026-08-02T15:46:54+00:00
27,image_missing,DJI Mini 5 Pro,image search unavailable: host commons.wikimedia.org refused by network egress policy (proxy refused CONNECT (403/407)),high,"Run the image pass from a network that permits Wikimedia Commons, or sideload a licensed file. Search: https://commons.wikimedia.org/w/index.php?search=DJI%20Mini%205%20Pro%20UAV&title=Special:MediaSearch&type=image",network egress policy blocks the image provider,open,platforms,309,2026-08-02T15:46:54+00:00,2026-08-02T15:46:54+00:00
29,pipeline_blocker,Image acquisition unavailable in this environment,Wikimedia Commons and all other configured image hosts were refused by the network egress policy (HTTP 403 at the proxy). No image bytes could be retrieved. Every affected platform has an individual image_missing item carrying its Commons media-search URL.,high,"Re-run `python run.py --images` where commons.wikimedia.org and upload.wikimedia.org are reachable, or sideload files with `python run.py --sideload-images`.",network egress policy,open,,,2026-08-02T15:46:54+00:00,2026-08-02T15:46:54+00:00
8,source_unreachable,AeroVironment official product pages,"host www.avinc.com refused by network egress policy: HTTPSConnectionPool(host='www.avinc.com', port=443): Max retries exceeded with url: /uas (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",high,Re-run discovery from an environment whose egress policy permits this host.,network: www.avinc.com,open,,,2026-08-02T15:46:50+00:00,2026-08-02T15:46:50+00:00
5,source_unreachable,Baykar official product pages,"host baykartech.com refused by network egress policy: HTTPSConnectionPool(host='baykartech.com', port=443): Max retries exceeded with url: /en/uav/ (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",high,Re-run discovery from an environment whose egress policy permits this host.,network: baykartech.com,open,,,2026-08-02T15:46:48+00:00,2026-08-02T15:46:48+00:00
7,source_unreachable,DJI official product pages,"host enterprise.dji.com refused by network egress policy: HTTPSConnectionPool(host='enterprise.dji.com', port=443): Max retries exceeded with url: /products (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",high,Re-run discovery from an environment whose egress policy permits this host.,network: enterprise.dji.com,open,,,2026-08-02T15:46:49+00:00,2026-08-02T15:46:49+00:00
12,source_unreachable,DRDO unmanned aerial systems,"host www.drdo.gov.in refused by network egress policy: HTTPSConnectionPool(host='www.drdo.gov.in', port=443): Max retries exceeded with url: /drdo/aeronautical-systems (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",high,Re-run discovery from an environment whose egress policy permits this host.,network: www.drdo.gov.in,open,,,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
1,source_unreachable,Drones for EU operations (class-marked UAS),"host www.easa.europa.eu refused by network egress policy: HTTPSConnectionPool(host='www.easa.europa.eu', port=443): Max retries exceeded with url: /en/domains/civil-drones/drones-eu-operations (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",high,Re-run discovery from an environment whose egress policy permits this host.,network: www.easa.europa.eu,open,,,2026-08-02T15:46:45+00:00,2026-08-02T15:46:45+00:00
9,source_unreachable,Elbit Systems official product pages,"host elbitsystems.com refused by network egress policy: HTTPSConnectionPool(host='elbitsystems.com', port=443): Max retries exceeded with url: /products/uas/ (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",high,Re-run discovery from an environment whose egress policy permits this host.,network: elbitsystems.com,open,,,2026-08-02T15:46:50+00:00,2026-08-02T15:46:50+00:00
2,source_unreachable,FAA UAS Declaration of Compliance list,"host uasdoc.faa.gov refused by network egress policy: HTTPSConnectionPool(host='uasdoc.faa.gov', port=443): Max retries exceeded with url: /api/v1/products?pageSize=500 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",high,Re-run discovery from an environment whose egress policy permits this host.,network: uasdoc.faa.gov,open,,,2026-08-02T15:46:46+00:00,2026-08-02T15:46:46+00:00
