raw_id,raw_name,source_dataset,source_url,external_ref,raw_country,raw_manufacturer,domain,category,status,credibility_tier,promoted_record_id,promoted_name,created_at
503,3S,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0503,France,Drone Protect Systems,Military / Government,Small / tactical; Rotary-wing,In use or under development as documented in 2019,2,UAV-87319D872852,3S,2026-08-02T16:05:02+00:00
608,A1-S/M Fury,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0608,Ukraine,Athlone Air,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-E79A0D325185,A1-S,2026-08-02T16:05:02+00:00
511,ALADIN,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0511,Germany,EMT,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-2BC75458C712,ALADIN,2026-08-02T16:05:02+00:00
616,ANT,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0616,Uruguay,CIACA,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-64BD05D89142,ANT,2026-08-02T16:05:02+00:00
504,AR-Drone,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0504,France,Parrot,Military / Government,Small / tactical; Rotary-wing,In use or under development as documented in 2019,2,UAV-23D8E0156062,AR Drone,2026-08-02T16:05:02+00:00
466,ASN-104,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0466,China,Xi’an ASN Technology Group,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-13A55FECA853,ASN-104,2026-08-02T16:05:02+00:00
467,ASN-206,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0467,China,Xi’an ASN Technology Group,Military / Government,Medium tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-0AD9644F87B0,ASN-206,2026-08-02T16:05:02+00:00
468,ASN-207,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0468,China,Xi’an ASN Technology Group,Military / Government,Medium tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-7DD80982222B,ASN-207,2026-08-02T16:05:02+00:00
469,ASN-209,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0469,China,Xi’an ASN Technology Group,Military / Government,Medium tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-9CE19E9211AF,ASN-209,2026-08-02T16:05:02+00:00
609,ASU-1 Valkyrie,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0609,Ukraine,Aviation Systems of Ukraine,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-502FE1C05337,ASU-1 Valkyrie,2026-08-02T16:05:02+00:00
470,AV500W,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0470,China,AVIC,Military / Government,Medium tactical; Rotary-wing,In use or under development as documented in 2019,2,UAV-F3823EA9E1E4,AV500W,2026-08-02T16:05:02+00:00
518,Ababil-3,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0518,Iran,Qods Aviation,Military / Government,Medium tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-59B8AD1FC59B,Ababil-3,2026-08-02T16:05:02+00:00
588,Alpha 800,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0588,Spain,Alpha Unmanned Systems,Military / Government,Small / tactical; Rotary-wing,In use or under development as documented in 2019,2,UAV-22C7E3819320,Alpha 800,2026-08-02T16:05:02+00:00
557,Aludra (Mk1),Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0557,Malaysia,CTRM,Military / Government,Medium tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-E11B4F1DB8F7,Aludra (Mk1),2026-08-02T16:05:02+00:00
602,Anka,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0602,Türkiye,TAI,Military / Government,Large / strategic; Fixed-wing,In use or under development as documented in 2019,2,UAV-B53C5FFA1020,Anka,2026-08-02T16:05:02+00:00
593,Atlante Tucan,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0593,Spain,Airbus SCR,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-95701279EFD1,Atlante Tucan,2026-08-02T16:05:02+00:00
589,Atlantic,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0589,Spain,SCR,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-5721AA1BEA61,Atlantic,2026-08-02T16:05:02+00:00
455,Aukán,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0455,Argentina,DGIyD,Military / Government,Medium tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-9E92829F7DC7,Aukán,2026-08-02T16:05:02+00:00
472,BZK-005,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0472,China,Beihang,Military / Government,Large / strategic; Fixed-wing,In use or under development as documented in 2019,2,UAV-D60A771E6147,BZK-005,2026-08-02T16:05:02+00:00
473,BZK-007,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0473,China,GAIC,Military / Government,Large / strategic; Fixed-wing,In use or under development as documented in 2019,2,UAV-CFE1C76281EF,BZK-007,2026-08-02T16:05:02+00:00
474,BZK-206,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0474,China,Beihang,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-9D7BF26BBC3C,BZK-206,2026-08-02T16:05:02+00:00
603,Bayraktar Mini,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0603,Türkiye,Kale-Baykar,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-93181A5F673D,Bayraktar Mini,2026-08-02T16:05:02+00:00
604,Bayraktar-TB2,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0604,Türkiye,Baykar Makina,Military / Government,Large / strategic; Fixed-wing,In use or under development as documented in 2019,2,UAV-2EA3572A6DEB,Bayraktar TB2,2026-08-02T16:05:02+00:00
457,Baze,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0457,Armenia,Military Aviation Institute,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-6B009E0F303F,Baze,2026-08-02T16:05:02+00:00
460,Berkut-2,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0460,Belarus,JSC Agat Control Systems,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-022CC86DB14C,Berkut-2,2026-08-02T16:05:02+00:00
527,Bird Eye 400,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0527,Israel,IAI,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-8372B9AC1670,Bird Eye 400,2026-08-02T16:05:02+00:00
619,Black Hornet (PRS),Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0619,United States,FLIR,Military / Government,Small / tactical; Rotary-wing,In use or under development as documented in 2019,2,UAV-D55CE04D48A9,Black Hornet (PRS),2026-08-02T16:05:02+00:00
471,Blowfish 1,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0471,China,Ziyan,Military / Government,Small / tactical; Rotary-wing,In use or under development as documented in 2019,2,UAV-063326331A17,Blowfish 1,2026-08-02T16:05:02+00:00
528,Blue Horizon II,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0528,Israel,EMIT Aviation,Military / Government,Medium tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-059603F59D02,Blue Horizon II,2026-08-02T16:05:02+00:00
579,Bramor,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0579,Slovenia,C-Astral,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-24D179B222D8,Bramor,2026-08-02T16:05:02+00:00
